id;contact_id;name;interest;deletedAt;user_id;plan_stage_id;stage_order;not_company
435;NULL;"ROTTER Y KRAUSS";2;NULL;253;NULL;NULL;0
436;NULL;"LUXOTTICA - GMO";1;NULL;253;NULL;NULL;0
437;NULL;"PLACE VENDOME";1;NULL;253;NULL;NULL;0
438;NULL;"PARQUE ARAUCO";1;NULL;253;NULL;NULL;0
439;NULL;"MALL PLAZA";2;NULL;253;NULL;NULL;0
440;NULL;"CENCOSUD SHOPPING CENTERS";1;NULL;253;NULL;NULL;0
441;NULL;VIVOCORP;1;NULL;253;NULL;NULL;0
442;NULL;"SAMSUNG CHILE";1;NULL;253;NULL;NULL;0
443;NULL;"LG ELECTRONICS";1;NULL;253;NULL;NULL;0
444;NULL;"SONY CHILE";1;NULL;253;NULL;NULL;0
445;NULL;DELL;1;NULL;253;NULL;NULL;0
446;NULL;"HP HEWLETT PACKARD";1;NULL;253;NULL;NULL;0
447;NULL;"IBM CHILE ";1;NULL;253;NULL;NULL;0
448;NULL;"NOKIA SIEMENS";1;NULL;253;NULL;NULL;0
449;NULL;PHILIPS;1;NULL;253;NULL;NULL;0
450;NULL;AUDIOMUSICA;1;NULL;253;NULL;NULL;0
451;NULL;"CASA ROYAL";1;NULL;253;NULL;NULL;0
452;NULL;REIFSHNEIDER;1;NULL;253;NULL;NULL;0
453;NULL;"PC FACTORY";1;NULL;253;NULL;NULL;0
454;NULL;MACONLINE;1;NULL;253;NULL;NULL;0
455;NULL;MICROPLAY;1;NULL;253;NULL;NULL;0
456;NULL;WEPLAY;1;NULL;253;NULL;NULL;0
457;NULL;"CASA AMARILLA";1;NULL;253;NULL;NULL;0
458;NULL;"ENTEL ";1;NULL;253;NULL;NULL;0
459;NULL;CLARO;1;NULL;253;NULL;NULL;0
